DateTime,,,,,Ident,Secs,TX,RX
20180424184538,,,,,5,29.0-30.0,524288,4194304
20180424184538,,,,,7,29.0-30.0,655360,5242880
20180424184538,,,,,-1,29.0-30.0,2883584,23068672
20180424184539,,,,,4,30.0-31.0,524288,4194304
20180424184539,,,,,7,30.0-31.0,393216,3145728
20180424184539,,,,,6,30.0-31.0,393216,3145728
20180424184539,,,,,3,30.0-31.0,393216,3145728
20180424184539,,,,,5,30.0-31.0,393216,3145728
20180424184539,,,,,-1,30.0-31.0,2097152,16777216
20180424184540,,,,,4,31.0-32.0,917504,7340032
20180424184540,,,,,7,31.0-32.0,917504,7340032
20180424184540,,,,,3,31.0-32.0,524288,4194304
20180424184540,,,,,5,31.0-32.0,524288,4194304
20180424184540,,,,,6,31.0-32.0,655360,5242880
20180424184540,,,,,-1,31.0-32.0,3538944,28311552
20180424184541,,,,,4,32.0-33.0,655360,5242880
20180424184541,,,,,3,32.0-33.0,393216,3145728
20180424184541,,,,,7,32.0-33.0,524288,4194304
20180424184541,,,,,6,32.0-33.0,262144,2097152
20180424184541,,,,,5,32.0-33.0,393216,3145728
20180424184541,,,,,-1,32.0-33.0,2228224,17825792
20180424184542,,,,,4,33.0-34.0,786432,6291456
20180424184542,,,,,5,33.0-34.0,393216,3145728
20180424184542,,,,,3,33.0-34.0,655360,5242880
20180424184542,,,,,7,33.0-34.0,655360,5242880
20180424184542,,,,,6,33.0-34.0,393216,3145728
20180424184542,,,,,-1,33.0-34.0,2883584,23068672
20180424184543,,,,,4,34.0-35.0,524288,4194304
20180424184543,,,,,3,34.0-35.0,655360,5242880
20180424184543,,,,,7,34.0-35.0,524288,4194304
20180424184543,,,,,5,34.0-35.0,524288,4194304
20180424184543,,,,,6,34.0-35.0,393216,3145728
20180424184543,,,,,-1,34.0-35.0,2621440,20971520
20180424184544,,,,,3,35.0-36.0,524288,4194304
20180424184544,,,,,7,35.0-36.0,393216,3145728
20180424184544,,,,,5,35.0-36.0,393216,3145728
20180424184544,,,,,4,35.0-36.0,655360,5242880
20180424184544,,,,,6,35.0-36.0,393216,3145728
20180424184544,,,,,-1,35.0-36.0,2359296,18874368
20180424184545,,,,,3,36.0-37.0,655360,5242880
20180424184545,,,,,4,36.0-37.0,524288,4194304
20180424184545,,,,,7,36.0-37.0,524288,4194304
20180424184545,,,,,6,36.0-37.0,524288,4194304
20180424184545,,,,,5,36.0-37.0,524288,4194304
20180424184545,,,,,-1,36.0-37.0,2752512,22020096
20180424184546,,,,,3,37.0-38.0,655360,5242880
20180424184546,,,,,4,37.0-38.0,524288,4194304
20180424184546,,,,,7,37.0-38.0,524288,4194304
20180424184546,,,,,5,37.0-38.0,524288,4194304
20180424184546,,,,,6,37.0-38.0,524288,4194304
20180424184546,,,,,-1,37.0-38.0,2752512,22020096
20180424184547,,,,,4,38.0-39.0,524288,4194304
20180424184547,,,,,5,38.0-39.0,393216,3145728
20180424184547,,,,,7,38.0-39.0,524288,4194304
20180424184547,,,,,3,38.0-39.0,655360,5242880
20180424184547,,,,,6,38.0-39.0,393216,3145728
20180424184547,,,,,-1,38.0-39.0,2490368,19922944
20180424184548,,,,,4,39.0-40.0,655360,5242880
20180424184548,,,,,6,39.0-40.0,393216,3145728
20180424184548,,,,,5,39.0-40.0,524288,4194304
20180424184548,,,,,3,39.0-40.0,524288,4194304
20180424184548,,,,,7,39.0-40.0,524288,4194304
20180424184548,,,,,-1,39.0-40.0,2621440,20971520
20180424184549,,,,,4,40.0-41.0,655360,5242880
20180424184549,,,,,6,40.0-41.0,524288,4194304
20180424184549,,,,,5,40.0-41.0,524288,4194304
20180424184549,,,,,3,40.0-41.0,393216,3145728
20180424184549,,,,,7,40.0-41.0,393216,3145728
20180424184549,,,,,-1,40.0-41.0,2490368,19922944
20180424184550,,,,,4,41.0-42.0,786432,6291456
20180424184550,,,,,6,41.0-42.0,655360,5242880
20180424184550,,,,,5,41.0-42.0,393216,3145728
20180424184550,,,,,7,41.0-42.0,393216,3145728
20180424184550,,,,,3,41.0-42.0,393216,3145728
