DateTime,Ident,Secs,Secs2,TX,RX
20180424111415,4,79,80,130830,1046640
20180424111415,5,79,80,130830,1046640
20180424111415,6,79,80,130830,1046640
20180424111415,0,79,80,654150,5233200
20180424111416,7,80,81,130830,1046640
20180424111416,3,80,81,130830,1046640
20180424111416,4,80,81,130830,1046640
20180424111416,5,80,81,130830,1046640
20180424111416,6,80,81,130830,1046640
20180424111416,0,80,81,654150,5233200
20180424111417,7,81,82,130830,1046640
20180424111417,3,81,82,130830,1046640
20180424111417,4,81,82,130830,1046640
20180424111417,5,81,82,130830,1046640
20180424111417,6,81,82,130830,1046640
20180424111417,0,81,82,654150,5233200
20180424111418,7,82,83,130830,1046640
20180424111418,3,82,83,130830,1046640
20180424111418,4,82,83,130830,1046640
20180424111418,5,82,83,130830,1046640
20180424111418,6,82,83,130830,1046640
20180424111418,0,82,83,654150,5233200
20180424111419,7,83,84,130830,1046640
20180424111419,3,83,84,130830,1046640
20180424111419,4,83,84,130830,1046640
20180424111419,5,83,84,130830,1046640
20180424111419,6,83,84,130830,1046640
20180424111419,0,83,84,654150,5233200
20180424111420,7,84,85,132300,1058400
20180424111420,3,84,85,132300,1058400
20180424111420,4,84,85,132300,1058400
20180424111420,5,84,85,132300,1058400
20180424111420,6,84,85,132300,1058400
20180424111420,0,84,85,661500,5292000
20180424111421,7,85,86,130830,1046640
20180424111421,3,85,86,130830,1046640
20180424111421,4,85,86,130830,1046640
20180424111421,5,85,86,130830,1046640
20180424111421,6,85,86,130830,1046640
20180424111421,0,85,86,654150,5233200
20180424111422,7,86,87,130830,1046640
20180424111422,3,86,87,130830,1046640
20180424111422,4,86,87,130830,1046640
20180424111422,5,86,87,130830,1046640
20180424111422,6,86,87,130830,1046640
20180424111422,0,86,87,654150,5233200
20180424111423,7,87,88,130830,1046640
20180424111423,3,87,88,130830,1046640
20180424111423,4,87,88,130830,1046640
20180424111423,5,87,88,130830,1046640
20180424111423,6,87,88,130830,1046640
20180424111423,0,87,88,654150,5233200
20180424111424,7,88,89,130830,1046640
20180424111424,3,88,89,130830,1046640
20180424111424,4,88,89,130830,1046640
20180424111424,5,88,89,130830,1046640
20180424111424,6,88,89,130830,1046640
20180424111424,0,88,89,654150,5233200
20180424111425,7,89,90,130830,1046640
20180424111425,3,89,90,130830,1046640
20180424111425,4,89,90,130830,1046640
20180424111425,5,89,90,130830,1046640
20180424111425,6,89,90,130830,1046640
20180424111425,0,89,90,654150,5233200
20180424111426,7,90,91,132300,1058400
20180424111426,3,90,91,132300,1058400
20180424111426,4,90,91,132300,1058400
20180424111426,5,90,91,132300,1058400
20180424111426,6,90,91,132300,1058400
20180424111426,0,90,91,661500,5292000
20180424111427,7,91,92,130830,1046640
20180424111427,3,91,92,130830,1046640
20180424111427,4,91,92,130830,1046640
20180424111427,5,91,92,130830,1046640
20180424111427,6,91,92,130830,1046640
20180424111427,0,91,92,654150,5233200
20180424111428,7,92,93,130830,1046640
20180424111428,3,92,93,129359,1034872
20180424111428,4,92,93,130830,1046640
20180424111428,5,92,93,130830,1046640
20180424111428,6,92,93,130830,1046640
20180424111428,0,92,93,652679,5221432
20180424111429,7,93,94,130830,1046640
20180424111429,3,93,94,130830,1046640
20180424111429,4,93,94,130830,1046640
20180424111429,5,93,94,129359,1034872
20180424111429,6,93,94,130830,1046640
20180424111429,0,93,94,652679,5221432
20180424111430,7,94,95,130830,1046640
20180424111430,3,94,95,130830,1046640
20180424111430,4,94,95,130830,1046640
20180424111430,5,94,95,130830,1046640
20180424111430,6,94,95,130830,1046640
20180424111430,0,94,95,654150,5233200
20180424111431,7,95,96,130830,1046640
20180424111431,3,95,96,130830,1046640
20180424111431,4,95,96,130830,1046640
20180424111431,5,95,96,130830,1046640
20180424111431,6,95,96,130830,1046640
20180424111431,0,95,96,654150,5233200
20180424111432,4,96,97,132300,1058400
20180424111432,5,96,97,132300,1058400
20180424111432,6,96,97,132300,1058400
20180424111432,7,96,97,132300,1058400
20180424111432,3,96,97,132300,1058400
20180424111432,0,96,97,661500,5292000
20180424111433,7,97,98,130830,1046640
20180424111433,3,97,98,130830,1046640
20180424111433,4,97,98,130830,1046640
20180424111433,5,97,98,130830,1046640
20180424111433,6,97,98,130830,1046640
20180424111433,0,97,98,654150,5233200
20180424111434,7,98,99,130830,1046640
20180424111434,3,98,99,130830,1046640
20180424111434,4,98,99,130830,1046640
20180424111434,5,98,99,130830,1046640
20180424111434,6,98,99,130830,1046640
20180424111434,0,98,99,654150,5233200
20180424111435,7,99,100,130830,1046640
20180424111435,3,99,100,130830,1046640
20180424111435,4,99,100,130830,1046640
20180424111435,5,99,100,130830,1046640
20180424111435,6,99,100,130830,1046640
20180424111435,0,99,100,654150,5233200
20180424111436,7,100,101,130830,1046640
20180424111436,3,100,101,130830,1046640
20180424111436,4,100,101,130830,1046640
20180424111436,5,100,101,130830,1046640
20180424111436,6,100,101,130830,1046640
20180424111436,0,100,101,654150,5233200
20180424111437,7,101,102,130830,1046640
20180424111437,3,101,102,130830,1046640
20180424111437,4,101,102,130830,1046640
20180424111437,5,101,102,130830,1046640
20180424111437,6,101,102,130830,1046640
20180424111437,0,101,102,654150,5233200
20180424111438,7,102,103,132300,1058400
20180424111438,3,102,103,132300,1058400
20180424111438,4,102,103,132300,1058400
20180424111438,5,102,103,132300,1058400
20180424111438,6,102,103,132300,1058400
20180424111438,0,102,103,661500,5292000
20180424111439,7,103,104,129359,1034872
20180424111439,3,103,104,130830,1046640
20180424111439,4,103,104,130830,1046640
20180424111439,5,103,104,130830,1046640
20180424111439,6,103,104,130830,1046640
20180424111439,0,103,104,652679,5221432
20180424111440,7,104,105,130830,1046640
20180424111440,3,104,105,129359,1034872
20180424111440,4,104,105,130830,1046640
20180424111440,5,104,105,130830,1046640
20180424111440,6,104,105,130830,1046640
20180424111440,0,104,105,652679,5221432
20180424111441,7,105,106,129359,1034872
20180424111441,3,105,106,130830,1046640
20180424111441,4,105,106,130830,1046640
20180424111441,5,105,106,130830,1046640
20180424111441,6,105,106,130830,1046640
20180424111441,0,105,106,652679,5221432
20180424111442,7,106,107,130830,1046640
20180424111442,3,106,107,130830,1046640
20180424111442,4,106,107,130830,1046640
20180424111442,5,106,107,130830,1046640
20180424111442,6,106,107,129359,1034872
20180424111442,0,106,107,652679,5221432
20180424111443,7,107,108,129359,1034872
20180424111443,3,107,108,130830,1046640
20180424111443,4,107,108,130830,1046640
20180424111443,5,107,108,130830,1046640
20180424111443,6,107,108,130830,1046640
20180424111443,0,107,108,652679,5221432
20180424111444,7,108,109,132300,1058400
20180424111444,3,108,109,130829,1046632
20180424111444,4,108,109,132300,1058400
20180424111444,5,108,109,132300,1058400
20180424111444,6,108,109,132300,1058400
20180424111444,0,108,109,660029,5280232
20180424111445,7,109,110,129359,1034872
20180424111445,3,109,110,130830,1046640
20180424111445,4,109,110,130830,1046640
20180424111445,5,109,110,130830,1046640
20180424111445,6,109,110,130830,1046640
20180424111445,0,109,110,652679,5221432
20180424111446,7,110,111,130830,1046640
20180424111446,3,110,111,129359,1034872
20180424111446,4,110,111,130830,1046640
20180424111446,5,110,111,130830,1046640
20180424111446,6,110,111,130830,1046640
20180424111446,0,110,111,652679,5221432
20180424111447,7,111,112,130830,1046640
20180424111447,3,111,112,130830,1046640
20180424111447,4,111,112,130830,1046640
20180424111447,5,111,112,130830,1046640
20180424111447,6,111,112,129359,1034872
20180424111447,0,111,112,652679,5221432
20180424111448,7,112,113,130830,1046640
20180424111448,3,112,113,130830,1046640
20180424111448,4,112,113,130830,1046640
20180424111448,5,112,113,129359,1034872
20180424111448,6,112,113,130830,1046640
20180424111448,0,112,113,652679,5221432
20180424111449,7,113,114,130830,1046640
20180424111449,3,113,114,130830,1046640
20180424111449,4,113,114,130830,1046640
20180424111449,5,113,114,129359,1034872
20180424111449,6,113,114,130830,1046640
20180424111449,0,113,114,652679,5221432
20180424111450,7,114,115,132300,1058400
20180424111450,3,114,115,132300,1058400
20180424111450,4,114,115,132300,1058400
20180424111450,5,114,115,130829,1046632
20180424111450,6,114,115,132300,1058400
20180424111450,0,114,115,660029,5280232
20180424111451,7,115,116,129359,1034872
20180424111451,3,115,116,130830,1046640
20180424111451,4,115,116,130830,1046640
20180424111451,5,115,116,130830,1046640
20180424111451,6,115,116,130830,1046640
20180424111451,0,115,116,652679,5221432
20180424111452,7,116,117,130830,1046640
20180424111452,3,116,117,130830,1046640
20180424111452,4,116,117,130830,1046640
20180424111452,5,116,117,130830,1046640
20180424111452,6,116,117,129359,1034872
20180424111452,0,116,117,652679,5221432
20180424111453,7,117,118,130830,1046640
20180424111453,3,117,118,129359,1034872
20180424111453,4,117,118,130830,1046640
20180424111453,5,117,118,130830,1046640
20180424111453,6,117,118,130830,1046640
20180424111453,0,117,118,652679,5221432
20180424111454,7,118,119,129359,1034872
20180424111454,3,118,119,130830,1046640
20180424111454,4,118,119,130830,1046640
20180424111454,5,118,119,130830,1046640
20180424111454,6,118,119,130830,1046640
20180424111454,0,118,119,652679,5221432
20180424111455,7,119,120,129359,1034872
20180424111455,3,119,120,130830,1046640
20180424111455,4,119,120,130830,1046640
20180424111455,5,119,120,130830,1046640
20180424111455,6,119,120,130830,1046640
20180424111455,0,119,120,652679,5221432
20180424111456,7,120,121,130829,1046632
20180424111456,3,120,121,132300,1058400
20180424111456,4,120,121,132300,1058400
20180424111456,5,120,121,132300,1058400
20180424111456,6,120,121,132300,1058400
20180424111456,0,120,121,660029,5280232
20180424111457,7,121,122,130830,1046640
20180424111457,3,121,122,130830,1046640
20180424111457,4,121,122,129359,1034872
20180424111457,5,121,122,130830,1046640
20180424111457,6,121,122,130830,1046640
20180424111457,0,121,122,652679,5221432
20180424111458,7,122,123,129359,1034872
